"","ses_age","channel","Label","t"
"263",16,44,"E47",0.120114873365683
"264",16,45,"E50",0.13988789172429
"265",16,46,"E51",0.138954879791414
"266",16,47,"E52",0.158387536642455
"267",16,48,"E53",0.158662413555031
"268",16,49,"E54",0.181333660808171
"269",16,50,"E55",0.16981761996184
"270",16,51,"E57",0.164524303839944
"271",16,52,"E58",0.156086541622628
"272",16,53,"E59",0.173977188573405
"273",16,54,"E60",0.167237717500135
"274",16,55,"E61",0.165522257897782
"275",16,56,"E62",0.16997043304161
"276",16,57,"E64",0.179643261542179
"277",16,58,"E65",0.19275932138766
"278",16,59,"E66",0.178169928392404
"279",16,60,"E67",0.191495880450533
"280",16,61,"E69",0.212599352431743
"281",16,62,"E70",0.197824415261571
"282",16,63,"E71",0.195572694891145
"283",16,64,"E72",0.194573257589128
"284",16,65,"E74",0.215104389642176
"285",16,66,"E75",0.213834283459915
"286",16,67,"E76",0.225395065058679
"287",16,68,"E77",0.198157761080016
"288",16,69,"E78",0.180083101012674
"289",16,70,"E79",0.176571884256685
"290",16,71,"E80",0.18334408145663
"291",16,72,"E82",0.238319116751914
"292",16,73,"E83",0.223457693225018
"293",16,74,"E84",0.200474270704614
"294",16,75,"E85",0.172855381608055
"295",16,76,"E86",0.146547890521309
"296",16,77,"E87",0.148309240563601
"297",16,78,"E89",0.248807038030072
"298",16,79,"E90",0.219817639821657
"299",16,80,"E91",0.170280186583407
"300",16,81,"E92",0.136898970382279
"301",16,82,"E93",0.132198613591754
"302",16,83,"E95",0.226011228345117
"303",16,84,"E96",0.205382515054744
"304",16,85,"E97",0.169173393884431
"305",16,86,"E98",0.135264330139936
"306",16,87,"E100",0.201410462244462
"307",16,88,"E101",0.167349607489232
"308",16,89,"E102",0.14749587313385
"309",16,90,"E103",0.139570708290052
"310",16,91,"E104",0.15847834561822
"311",16,92,"E105",0.170833933474966
"312",16,93,"E106",0.16722641625573
"313",16,94,"E108",0.190282756432407
"314",16,95,"E109",0.164083415486855
"315",16,96,"E110",0.154543950641698
"316",16,97,"E111",0.181435395098259
"317",16,98,"E112",0.176378706975942
"318",16,99,"E114",0.177073881428897
"319",16,100,"E115",0.186035330524594
"320",16,101,"E116",0.176856028651137
"321",16,102,"E117",0.167833178915287
"322",16,103,"E118",0.153744757792375
"323",16,104,"E121",0.195967969727009
"324",16,105,"E122",0.188891170593018
"325",16,106,"E123",0.177099217616249
"326",16,107,"E124",0.158455411884705
"327",16,108,"Cz",0.160995436202723
