"","event","channel","Label","t"
"245","Video",26,"E28",0.145674203763903
"246","Video",27,"E29",0.120586899127314
"247","Video",28,"E30",0.114059599352728
"248","Video",29,"E31",0.117218930859334
"249","Video",30,"E32",0.101539108086095
"250","Video",31,"E33",0.145521752005217
"251","Video",32,"E34",0.146268525421501
"252","Video",33,"E35",0.107236930208167
"253","Video",34,"E36",0.113452902342113
"254","Video",35,"E37",0.111714649008934
"255","Video",36,"E38",0.101082789263286
"256","Video",37,"E39",0.127199675213879
"257","Video",38,"E40",0.125369682910557
"258","Video",39,"E41",0.133733831003946
"259","Video",40,"E42",0.110497124767272
"260","Video",41,"E44",0.097537783797204
"261","Video",42,"E45",0.12771309595428
"262","Video",43,"E46",0.105747565220992
"263","Video",44,"E47",0.105583112260941
"264","Video",45,"E50",0.120097686160878
"265","Video",46,"E51",0.104624617576081
"266","Video",47,"E52",0.102610283114462
"267","Video",48,"E53",0.0925637358807175
"268","Video",49,"E54",0.118601825401968
"269","Video",50,"E55",0.105335083463149
"270","Video",51,"E57",0.0892975420576363
"271","Video",52,"E58",0.0942077621662141
"272","Video",53,"E59",0.0997892436247726
"273","Video",54,"E60",0.104675962615281
"274","Video",55,"E61",0.120962929454315
"275","Video",56,"E62",0.133325778973059
"276","Video",57,"E64",0.100466359881985
"277","Video",58,"E65",0.120843955172738
"278","Video",59,"E66",0.0940312532563291
"279","Video",60,"E67",0.113781534872755
"280","Video",61,"E69",0.0897171739500699
"281","Video",62,"E70",0.0883086188987626
"282","Video",63,"E71",0.106786034341485
"283","Video",64,"E72",0.103012657680686
"284","Video",65,"E74",0.0892864123041905
"285","Video",66,"E75",0.101420551491083
"286","Video",67,"E76",0.10654338507947
"287","Video",68,"E77",0.112970912295932
"288","Video",69,"E78",0.120174873755709
"289","Video",70,"E79",0.107778649794617
"290","Video",71,"E80",0.10613654979962
"291","Video",72,"E82",0.0875747162914982
"292","Video",73,"E83",0.0985537039397182
"293","Video",74,"E84",0.10343856932385
"294","Video",75,"E85",0.112934835489368
"295","Video",76,"E86",0.115619083044044
"296","Video",77,"E87",0.10048651063837
"297","Video",78,"E89",0.111796481705618
"298","Video",79,"E90",0.11379968681431
"299","Video",80,"E91",0.127893754778922
"300","Video",81,"E92",0.118647861004465
"301","Video",82,"E93",0.0990555202267499
"302","Video",83,"E95",0.119085502975843
"303","Video",84,"E96",0.113301813620151
"304","Video",85,"E97",0.104271101202647
"305","Video",86,"E98",0.0959067478514782
"306","Video",87,"E100",0.113612009370925
"307","Video",88,"E101",0.117840911006901
"308","Video",89,"E102",0.113153931734937
"309","Video",90,"E103",0.108097585944244
"310","Video",91,"E104",0.0834611783393604
"311","Video",92,"E105",0.0849158778688883
"312","Video",93,"E106",0.117280943419055
"313","Video",94,"E108",0.13574243174269
"314","Video",95,"E109",0.130124693668476
"315","Video",96,"E110",0.0973850267276943
"316","Video",97,"E111",0.11614689433311
"317","Video",98,"E112",0.107977821918561
"318","Video",99,"E114",0.127628520272294
"319","Video",100,"E115",0.140282480910971
"320","Video",101,"E116",0.146250158170198
"321","Video",102,"E117",0.127933620222471
"322","Video",103,"E118",0.111096893015693
"323","Video",104,"E121",0.12420534876072
"324","Video",105,"E122",0.124986187485442
"325","Video",106,"E123",0.119876709289873
"326","Video",107,"E124",0.137102872320689
"327","Video",108,"Cz",0.101877734319895
