subject,event,event_n,channel,hemis,area,subarea,tauorg,tauimp,pernan
A1i7n,eyes_open,1,E91,Right,Parietal,P8,1.798132604,1.798132604,0.155963303
A1i7n,eyes_open,1,E92,Right,Parietal,P4,,0.430465964,0.155963303
A1i7n,eyes_open,1,E93,Right,Central,C4,,0.519795341,0.155963303
A1i7n,eyes_open,1,E95,Right,Parietal,P8,0.095685168,0.095685168,0.155963303
A1i7n,eyes_open,1,E96,Right,Parietal,P8,0.386915558,0.386915558,0.155963303
A1i7n,eyes_open,1,E97,Right,Parietal,P8,0.307458928,0.307458928,0.155963303
A1i7n,eyes_open,1,E98,Right,Central,C8,0.520431537,0.520431537,0.155963303
A1i7n,eyes_open,1,E100,Right,Temporal,TR,0.559977135,0.559977135,0.155963303
A1i7n,eyes_open,1,E101,Right,Temporal,TR,0.207607241,0.207607241,0.155963303
A1i7n,eyes_open,1,E102,Right,Temporal,TR,0.172442663,0.172442663,0.155963303
A1i7n,eyes_open,1,E103,Right,Central,C8,0.191693944,0.191693944,0.155963303
A1i7n,eyes_open,1,E104,Right,Central,C4,0.556158798,0.556158798,0.155963303
A1i7n,eyes_open,1,E105,Central,Central,Cz,0.61219703,0.61219703,0.155963303
A1i7n,eyes_open,1,E106,Central,Central,Cz,0.65218334,0.65218334,0.155963303
A1i7n,eyes_open,1,E108,Right,Temporal,TR,7.70825E-05,7.70825E-05,0.155963303
A1i7n,eyes_open,1,E109,Right,Temporal,TR,0.332224867,0.332224867,0.155963303
A1i7n,eyes_open,1,E110,Right,Central,C8,0.139101956,0.139101956,0.155963303
A1i7n,eyes_open,1,E111,Right,Central,C4,0.483431884,0.483431884,0.155963303
A1i7n,eyes_open,1,E112,Central,Central,Cz,0.326486182,0.326486182,0.155963303
A1i7n,eyes_open,1,E114,Right,Temporal,TR,1.683077349,1.683077349,0.155963303
A1i7n,eyes_open,1,E115,Right,Temporal,TR,0.737181932,0.737181932,0.155963303
A1i7n,eyes_open,1,E116,Right,Frontal,F8,1.964039438,1.964039438,0.155963303
A1i7n,eyes_open,1,E117,Right,Frontal,F4,,0.395500532,0.155963303
A1i7n,eyes_open,1,E118,Right,Frontal,F4,1.33298E-05,1.33298E-05,0.155963303
A1i7n,eyes_open,1,E121,Right,Temporal,TR,0.886381989,0.886381989,0.155963303
A1i7n,eyes_open,1,E122,Right,Frontal,F8,1.118267146,1.118267146,0.155963303
A1i7n,eyes_open,1,E123,Right,Frontal,F4,0.508260396,0.508260396,0.155963303
A1i7n,eyes_open,1,E124,Right,Frontal,F4,,0.395500532,0.155963303
A1i7n,eyes_open,1,Cz,Central,Central,Cz,1.034323187,1.034323187,0.155963303
A1i7n,eyes_open,2,E1,Right,Frontalpole,Fp2,0.462353475,0.462353475,0
A1i7n,eyes_open,2,E2,Right,Frontalpole,Fp2,1.03649E-05,1.03649E-05,0
A1i7n,eyes_open,2,E3,Right,Frontal,F4,0.07919189,0.07919189,0
A1i7n,eyes_open,2,E4,Central,Frontal,Fz,0.082513841,0.082513841,0
A1i7n,eyes_open,2,E5,Central,Frontal,Fz,4.66062E-05,4.66062E-05,0
A1i7n,eyes_open,2,E6,Central,Central,Cz,0.128739987,0.128739987,0
A1i7n,eyes_open,2,E7,Central,Central,Cz,0.19402424,0.19402424,0
A1i7n,eyes_open,2,E8,Right,Frontalpole,Fp2,0.127793204,0.127793204,0
A1i7n,eyes_open,2,E9,Right,Frontalpole,Fp2,0.075556511,0.075556511,0
A1i7n,eyes_open,2,E10,Central,Frontal,Fz,0.066548659,0.066548659,0
A1i7n,eyes_open,2,E11,Central,Frontal,Fz,0.100986867,0.100986867,0
A1i7n,eyes_open,2,E12,Central,Frontal,Fz,0.571100321,0.571100321,0
A1i7n,eyes_open,2,E13,Central,Central,Cz,0.328449454,0.328449454,0
A1i7n,eyes_open,2,E14,Central,Frontalpole,Fpz,0.073822829,0.073822829,0
A1i7n,eyes_open,2,E15,Central,Frontalpole,Fpz,3.3086E-05,3.3086E-05,0
A1i7n,eyes_open,2,E16,Central,Frontal,Fz,0.092263108,0.092263108,0
A1i7n,eyes_open,2,E18,Central,Frontal,Fz,0.108846826,0.108846826,0
A1i7n,eyes_open,2,E19,Central,Frontal,Fz,0.203967407,0.203967407,0
A1i7n,eyes_open,2,E20,Left,Frontal,F3,0.36636319,0.36636319,0
A1i7n,eyes_open,2,E21,Central,Frontalpole,Fpz,0.488482636,0.488482636,0
A1i7n,eyes_open,2,E22,Left,Frontalpole,Fp1,1.88366E-05,1.88366E-05,0
A1i7n,eyes_open,2,E23,Left,Frontal,F3,0.212732594,0.212732594,0
A1i7n,eyes_open,2,E24,Left,Frontal,F3,1.15362E-05,1.15362E-05,0
A1i7n,eyes_open,2,E25,Left,Frontalpole,Fp1,0.368010814,0.368010814,0
A1i7n,eyes_open,2,E26,Left,Frontalpole,Fp1,0.246800599,0.246800599,0
A1i7n,eyes_open,2,E27,Left,Frontal,F3,0.315088487,0.315088487,0
A1i7n,eyes_open,2,E28,Left,Frontal,F3,0.366074525,0.366074525,0
A1i7n,eyes_open,2,E29,Left,Central,C3,0.285437988,0.285437988,0
A1i7n,eyes_open,2,E30,Central,Central,Cz,0.17531838,0.17531838,0
A1i7n,eyes_open,2,E31,Central,Central,Cz,0.188709521,0.188709521,0
A1i7n,eyes_open,2,E32,Left,Frontalpole,Fp1,0.069819469,0.069819469,0
A1i7n,eyes_open,2,E33,Left,Frontal,F7,0.356723234,0.356723234,0
A1i7n,eyes_open,2,E34,Left,Frontal,F7,0.413288292,0.413288292,0
A1i7n,eyes_open,2,E35,Left,Central,C3,0.35994481,0.35994481,0
A1i7n,eyes_open,2,E36,Left,Central,C3,0.182629252,0.182629252,0
A1i7n,eyes_open,2,E37,Central,Central,Cz,0.537804082,0.537804082,0
A1i7n,eyes_open,2,E38,Left,Temporal,TL,0.077280296,0.077280296,0
A1i7n,eyes_open,2,E39,Left,Temporal,TL,0.738440602,0.738440602,0
A1i7n,eyes_open,2,E40,Left,Temporal,TL,7.08854E-05,7.08854E-05,0
A1i7n,eyes_open,2,E41,Left,Central,C7,5.36108E-05,5.36108E-05,0
A1i7n,eyes_open,2,E42,Left,Central,C3,0.122209653,0.122209653,0
A1i7n,eyes_open,2,E44,Left,Temporal,TL,0.232802222,0.232802222,0
A1i7n,eyes_open,2,E45,Left,Temporal,TL,2.6356E-05,2.6356E-05,0
A1i7n,eyes_open,2,E46,Left,Temporal,TL,0.234842876,0.234842876,0
A1i7n,eyes_open,2,E47,Left,Central,C7,0.320399822,0.320399822,0
A1i7n,eyes_open,2,E50,Left,Temporal,TL,0.26337591,0.26337591,0
A1i7n,eyes_open,2,E51,Left,Parietal,P7,0.675097768,0.675097768,0
A1i7n,eyes_open,2,E52,Left,Parietal,P3,0.412994304,0.412994304,0
A1i7n,eyes_open,2,E53,Left,Parietal,P3,0.382519735,0.382519735,0
A1i7n,eyes_open,2,E54,Central,Central,Cz,0.495046035,0.495046035,0
A1i7n,eyes_open,2,E55,Central,Central,Cz,0.079412478,0.079412478,0
A1i7n,eyes_open,2,E57,Left,Temporal,TL,0.185796774,0.185796774,0
A1i7n,eyes_open,2,E58,Left,Parietal,P7,0.280636602,0.280636602,0
A1i7n,eyes_open,2,E59,Left,Parietal,P7,5.4089E-05,5.4089E-05,0
A1i7n,eyes_open,2,E60,Left,Parietal,P3,0.140500015,0.140500015,0
A1i7n,eyes_open,2,E61,Central,Parietal,Pz,0.074289441,0.074289441,0
A1i7n,eyes_open,2,E62,Central,Parietal,Pz,0.112033515,0.112033515,0
A1i7n,eyes_open,2,E64,Left,Parietal,P7,0.195011178,0.195011178,0
A1i7n,eyes_open,2,E65,Left,Parietal,P7,0.093731852,0.093731852,0
A1i7n,eyes_open,2,E66,Left,Occipital,O1,0.131377468,0.131377468,0
A1i7n,eyes_open,2,E67,Central,Parietal,Pz,0.09785866,0.09785866,0
A1i7n,eyes_open,2,E69,Left,Occipital,O1,0.330153287,0.330153287,0
